DOT_Number,Company_Name,DBA_Name,Representative_Name,Representative_Title,Phone,Email,Street_Address,City,State,Zip_Code,Current_Insurance_Carrier,Policy_Expiration_Date,Insurance_Amount_On_File,Fleet_Size,Number_of_Drivers,Operation_Type,Entity_Type
223952,"TASTEE APPLE INC","",,,7404988316,rbarr@tasteeapple.com,,NEWCOMERSTOWN,OH,"","GREAT AMERICAN INSURANCE COMPANY OF NEW YORK",1988-08-25,1000000.0,2,0,,""
2212172,"TRAN-SPEC CORPORATION","",,,2164680404,"",,"BEDFORD HTS.",OH,"","FIRST N H INVESTMENT SERVICES",1990-08-21,0.0,0,0,,""
2213060,"ESPO PROPERTIES INC","ESPO EXPRESS",,,"(216) 372-3716","",,WARREN,OH,"","THE SECOND NATIONAL BANK OF WARREN",1990-08-31,0.0,0,0,,""
324744,"FREEDOM TRANSPORT INCORPORATED","",,,6188787593,ftransportinc@hotmail.com,,COLUMBUS,OH,"","GREAT WEST CASUALTY CO.",1993-08-01,1000000.0,14,0,,""
456401,"MONTPELIER AUTO AUCTION OF OHIO","MDAA LLC",,,4194853101,"",,MONTPELIER,OH,"","THE HOME INDEMNITY CO.",1993-08-01,1000000.0,0,0,,""
2221780,"RICHARD J HEIL","AMERICAN BROKERAGE CO",,,2164671111,"",,MACEDONIA,OH,"","NORTH AMERICAN SPECIALTY INS CO",1995-08-03,0.0,0,0,,""
585706,"ZACH'S CUSTOM TOWING","",,,5139324436,"",,LEBANON,OH,"","ERIE INSURANCE EXCHANGE",1995-08-15,1000000.0,3,0,,""
2213467,"DAV TRANSPORTATION SERVICES INC","",,,"","",,COLUMBUS,OH,"","UNITED STATES FIDELITY & GUARANTY CO.",1995-08-27,0.0,0,0,,""
2212390,"UNITED POOL DISTRIBUTION INC","",,,"(614) 991-9000","",,"GROVE CITY",OH,"","CONTINENTAL NATIONAL INDEMNITY COMPANY",1996-08-01,0.0,0,0,,""
2213617,"D & M TRANSPORTATION CO INCORPORATED","",,,2139479578,"",,MAINEVILLE,OH,"","CALVERT INSURANCE COMPANY",1996-08-23,0.0,0,0,,""
2223270,"C & M EXPEDITE INC","",,,4403500802,"",,"PAINESVILLE TOWNSHIP",OH,"","GREAT WEST CASUALTY CO.",1997-08-29,0.0,0,0,,""
656313,"HOWELL CARTAGE INC","",,,7403232751,"",,NEWARK,OH,"","ST. PAUL FIRE & MARINE INSURANCE CO.",1998-08-21,750000.0,1,0,,""
822850,"COMMUNITY BUS SERVICES INC","",,,3307437726,PHICKSON@COM-BUS.COM,,YOUNGSTOWN,OH,"","THE PHOENIX INSURANCE CO",1999-08-10,5000000.0,20,0,,""
2226412,"ELMCO LOGISTICS LTD","",,,4199832010,"",,BLOOMVILLE,OH,"","FIRSTMERIT BANK, NA",2000-08-01,0.0,0,0,,""
2218834,"TRITON TRANSPORT SERVICES INC","",,,2166214218,"",,CLEVELAND,OH,"","CLARENDON NATIONAL INS. CO.",2000-08-01,750000.0,0,0,,""
77138,"EQUIPMENT DEPOT OHIO INC","",,,2546624322,vanessa.puente@eqdepot.com,,CINCINNATI,OH,"","THE CINCINNATI INSURANCE CO.",2000-08-04,1000000.0,23,0,,""
2227736,"JONICKLOPEZ LOGISTICS LTD","",,,4402770592,"",,SHEFFIELD,OH,"","LORAIN NATIONAL BANK",2001-08-09,0.0,0,0,,""
2228022,"WALTER CAMPBELL","WALTER CAMPBELL BROKERAGE",,,3306262130,"",,STREETSBORO,OH,"","CORNING SAVINGS AND LOAN ASSSOCIATION",2001-08-09,0.0,0,0,,""
2228064,"CEI LOGISTICS INC","",,,7404207662,"",,CIRCLEVILLE,OH,"","FIRSTAR BANK, NA",2001-08-10,0.0,0,0,,""
2223147,"BEUTENMILLER BROKERAGE INC","",,,6145456800,"",,FRESNO,OH,"","FARWEST INSURANCE COMPANY(FAR WEST)",2001-08-26,0.0,0,0,,""
2214111,"BP PRODUCTS NORTH AMERICA INC","",,,2165863024,"",,CLEVELAND,OH,"","TRAVELERS CASUALTY AND SURETY COMPANY",2002-08-01,750000.0,0,0,,""
535019,"FUSIONSITE OHIO LLC",RENT-A-JOHN,,,6299107131,safety@fusionsiteservices.com,,COLUMBUS,OH,"","THE NETHERLANDS INSURANCE COMPANY",2002-08-01,1000000.0,26,0,,""
1015881,"4M TRUCKING INC","",,,4403206141,CHKMAYN@ADELPHIA.NET,,LORAIN,OH,"","WESTPORT INSURANCE CORPORATION",2002-08-14,750000.0,3,0,,""
2228042,"GARY SCHULTZ","SCHULTZ LOGISTICS CO",,,4196363921,"",,BRYAN,OH,"","STAR INSURANCE COMPANY",2002-08-26,0.0,0,0,,""
639831,"LUXURY DELIVERY SERVICE INC","",,,6144099338,"",,COLUMBUS,OH,"","TRAVELERS PROPERTY CASUALTY CO.  OF AMERICA",2003-08-01,750000.0,83,0,,""
1114275,"MATTHEW BUYER","T & M TRANSPORT",,,9374413324,"",,BELLEFONTAINE,OH,"","PROGRESSIVE PREFERRED INSURANCE CO.",2003-08-04,750000.0,1,0,,""
